,from,to,inter
0,R_1,R_7,семья
1,R_1,R_9,гражданин социальный
2,R_1,R_10,александр
3,R_1,R_13,проблема ситуация
4,R_1,R_16,александр владимир
5,R_1,R_23,гражданин
6,R_1,R_26,александр заседание председатель
7,R_1,R_27,александр встреча
8,R_1,R_27,семья
9,R_1,R_27,заседание
10,R_1,R_27,гражданин
11,R_1,R_27,губернатор председатель
12,R_1,R_27,бюджет
13,R_1,R_27,поддержка
14,R_1,R_27,население
15,R_1,R_27,александр встреча гражданин путин
16,R_1,R_27,семья
17,R_1,R_27,задача обеспечение реализация сфера
18,R_2,R_4,участок
19,R_2,R_18,общественный
20,R_2,R_21,участок
21,R_2,R_23,участок
22,R_2,R_26,общественный
23,R_2,R_26,автомобиль водитель дорожный машина пассажир
24,R_2,R_26,движение
25,R_2,R_26,движение дорога мост транспорт транспортный участок
26,R_2,R_26,общественный
27,R_3,R_12,воздух
28,R_3,R_22,отделение
29,R_3,R_24,учреждение
30,R_3,R_25,больница
31,R_3,R_26,отделение
32,R_3,R_28,здоровье
33,R_3,R_28,пожарный
34,R_3,R_28,воздух
35,R_3,R_28,грипп
36,R_3,R_28,болезнь больница больной вирус врач заболевание здоровье здравоохранение лечение медик медицинский пациент препарат
37,R_4,R_11,сельский хозяйство
38,R_4,R_12,земля
39,R_4,R_15,местный
40,R_4,R_21,участок
41,R_4,R_23,участок
42,R_4,R_26,местный
43,R_4,R_26,деревня
44,R_4,R_26,местный
45,R_4,R_26,среда
46,R_4,R_26,природный
47,R_4,R_26,земля
48,R_4,R_26,участок
49,R_4,R_26,село
50,R_4,R_26,пункт
51,R_5,R_10,вести
52,R_5,R_13,вести
53,R_5,R_19,москва
54,R_5,R_19,найти
55,R_5,R_19,вокзал станция
56,R_5,R_19,авария аэропорт самолёт
57,R_5,R_19,жертва пропасть
58,R_5,R_19,утром
59,R_5,R_19,железнодорожный железный поезд путь станция
60,R_5,R_19,пост
61,R_5,R_19,родственник смерть
62,R_6,R_14,дерево
63,R_6,R_15,остаться
64,R_6,R_21,метр
65,R_6,R_27,сезон
66,R_6,R_27,вода
67,R_6,R_27,взрыв инцидент
68,R_6,R_27,инцидент
69,R_6,R_27,погода температура
70,R_6,R_27,газ газовый электроэнергия
71,R_7,R_12,рука
72,R_7,R_13,знать просто сказать
73,R_7,R_16,родный
74,R_7,R_24,молодой родитель
75,R_7,R_25,женщина
76,R_7,R_28,рука
77,R_7,R_28,женщина молодой родитель рука семья
78,R_7,R_28,любить
79,R_7,R_28,просто
80,R_7,R_28,друг
81,R_7,R_28,отец семья сын
82,R_8,R_11,продукция
83,R_8,R_15,месяц
84,R_8,R_21,рабочий
85,R_8,R_24,директор
86,R_8,R_24,сумма
87,R_8,R_24,показатель
88,R_8,R_24,ставка
89,R_8,R_24,завод предприятие производство
90,R_8,R_24,стоимость
91,R_8,R_24,генеральный директор
92,R_8,R_24,оао предприятие продукция производство руб стоимость сумма
93,R_8,R_24,производство
94,R_9,R_14,апрель
95,R_9,R_15,месяц
96,R_9,R_23,гражданин размер
97,R_9,R_29,новогодний
98,R_9,R_29,возраст рождение
99,R_9,R_29,денежный размер
100,R_9,R_29,гражданин
101,R_9,R_29,автобус
102,R_9,R_29,ожидаться
103,R_9,R_29,выплата
104,R_9,R_29,гражданин
105,R_9,R_29,период размер фонд январь
106,R_9,R_29,страховой
107,R_10,R_13,вести
108,R_10,R_16,александр
109,R_10,R_17,победа
110,R_10,R_18,всероссийский
111,R_10,R_23,федерация
112,R_10,R_24,победитель
113,R_10,R_26,александр удмуртия удмуртский
114,R_10,R_27,александр игра команда победа чемпионат
115,R_10,R_28,группа
116,R_10,R_29,группа
117,R_10,R_30,группа
118,R_10,R_30,победитель
119,R_10,R_30,федерация
120,R_10,R_30,игра команда чемпионат
121,R_10,R_30,среди
122,R_10,R_30,александр
123,R_11,R_15,магазин
124,R_11,R_15,тонна
125,R_11,R_15,продукция товар
126,R_11,R_15,мясо напиток питание продукт
127,R_12,R_14,ночь
128,R_12,R_28,рука
129,R_12,R_28,голова рука
130,R_12,R_28,берег река
131,R_12,R_28,футбольный
132,R_12,R_28,воздух
133,R_12,R_28,белый
134,R_12,R_28,земля
135,R_12,R_28,удар
136,R_13,R_22,любой
137,R_13,R_22,внимание делать именно подобный поэтому просто стоить
138,R_13,R_22,очередь
139,R_14,R_17,советский
140,R_14,R_21,площадь
141,R_14,R_27,минута
142,R_14,R_27,птица
143,R_14,R_27,июль
